time_value,value,geo_value
2020-06-01,0.16857142857142857,ny
2020-06-02,0.16571428571428573,ny
2020-06-03,0.16999999999999998,ny
2020-06-04,0.16857142857142857,ny
2020-06-05,0.17142857142857143,ny
2020-06-06,0.1742857142857143,ny
2020-06-07,0.17285714285714285,ny
2020-06-08,0.17142857142857143,ny
2020-06-09,0.16999999999999996,ny
2020-06-10,0.1657142857142857,ny
2020-06-11,0.16857142857142857,ny
2020-06-12,0.16857142857142857,ny
2020-06-13,0.16857142857142857,ny
2020-06-14,0.17714285714285713,ny
2020-06-15,0.18142857142857144,ny
